InstanceID,FromNode,ToNode,Distance,Demand,Capacity
10_2,1,9,84.0,185.0,10000.0
10_2,1,10,90.0,185.0,10000.0
10_2,2,0,54.0,163.0,10000.0
10_2,2,1,54.0,163.0,10000.0
10_2,2,3,56.0,163.0,10000.0
10_2,2,4,94.0,163.0,10000.0
10_2,2,5,67.0,163.0,10000.0
10_2,2,6,94.0,163.0,10000.0
10_2,2,7,84.0,163.0,10000.0
10_2,2,8,87.0,163.0,10000.0
10_2,2,9,72.0,163.0,10000.0
10_2,2,10,84.0,163.0,10000.0
10_2,3,0,86.0,173.0,10000.0
10_2,3,1,55.0,173.0,10000.0
10_2,3,2,64.0,173.0,10000.0
10_2,3,4,60.0,173.0,10000.0
10_2,3,5,96.0,173.0,10000.0
10_2,3,6,77.0,173.0,10000.0
10_2,3,7,65.0,173.0,10000.0
10_2,3,8,58.0,173.0,10000.0
10_2,3,9,79.0,173.0,10000.0
10_2,3,10,59.0,173.0,10000.0
10_2,4,0,69.0,78.0,10000.0
10_2,4,1,76.0,78.0,10000.0
10_2,4,2,61.0,78.0,10000.0
10_2,4,3,56.0,78.0,10000.0
10_2,4,5,95.0,78.0,10000.0
10_2,4,6,75.0,78.0,10000.0
10_2,4,7,68.0,78.0,10000.0
10_2,4,8,63.0,78.0,10000.0
10_2,4,9,96.0,78.0,10000.0
10_2,4,10,81.0,78.0,10000.0
10_2,5,0,75.0,67.0,10000.0
10_2,5,1,91.0,67.0,10000.0
10_2,5,2,62.0,67.0,10000.0
10_2,5,3,57.0,67.0,10000.0
10_2,5,4,57.0,67.0,10000.0
10_2,5,6,90.0,67.0,10000.0
10_2,5,7,67.0,67.0,10000.0
10_2,5,8,66.0,67.0,10000.0
10_2,5,9,85.0,67.0,10000.0
10_2,5,10,73.0,67.0,10000.0
10_2,6,0,93.0,163.0,10000.0
10_2,6,1,70.0,163.0,10000.0
10_2,6,2,79.0,163.0,10000.0
10_2,6,3,82.0,163.0,10000.0
10_2,6,4,69.0,163.0,10000.0
10_2,6,5,57.0,163.0,10000.0
10_2,6,7,53.0,163.0,10000.0
10_2,6,8,72.0,163.0,10000.0
10_2,6,9,74.0,163.0,10000.0
10_2,6,10,92.0,163.0,10000.0
10_2,7,0,70.0,100.0,10000.0
10_2,7,1,77.0,100.0,10000.0
10_2,7,2,81.0,100.0,10000.0
10_2,7,3,63.0,100.0,10000.0
10_2,7,4,82.0,100.0,10000.0
10_2,7,5,75.0,100.0,10000.0
10_2,7,6,54.0,100.0,10000.0
10_2,7,8,94.0,100.0,10000.0
10_2,7,9,54.0,100.0,10000.0
10_2,7,10,75.0,100.0,10000.0
10_2,8,0,90.0,168.0,10000.0
10_2,8,1,51.0,168.0,10000.0
10_2,8,2,87.0,168.0,10000.0
10_2,8,3,96.0,168.0,10000.0
10_2,8,4,79.0,168.0,10000.0
10_2,8,5,53.0,168.0,10000.0
10_2,8,6,60.0,168.0,10000.0
10_2,8,7,80.0,168.0,10000.0
10_2,8,9,84.0,168.0,10000.0
10_2,8,10,68.0,168.0,10000.0
10_2,9,0,56.0,157.0,10000.0
10_2,9,1,53.0,157.0,10000.0
10_2,9,2,66.0,157.0,10000.0
10_2,9,3,79.0,157.0,10000.0
10_2,9,4,64.0,157.0,10000.0
10_2,9,5,92.0,157.0,10000.0
10_2,9,6,86.0,157.0,10000.0
10_2,9,7,88.0,157.0,10000.0
10_2,9,8,84.0,157.0,10000.0
10_2,9,10,99.0,157.0,10000.0
10_2,10,0,87.0,198.0,10000.0
10_2,10,1,99.0,198.0,10000.0
10_2,10,2,51.0,198.0,10000.0
10_2,10,3,88.0,198.0,10000.0
10_2,10,4,91.0,198.0,10000.0
10_2,10,5,84.0,198.0,10000.0
10_2,10,6,84.0,198.0,10000.0
10_2,10,7,75.0,198.0,10000.0
10_2,10,8,50.0,198.0,10000.0
10_2,10,9,73.0,198.0,10000.0
10_3,0,1,94.0,0.0,10000.0
10_3,0,2,83.0,0.0,10000.0
10_3,0,3,66.0,0.0,10000.0
10_3,0,4,86.0,0.0,10000.0
10_3,0,5,73.0,0.0,10000.0
10_3,0,6,91.0,0.0,10000.0
10_3,0,7,86.0,0.0,10000.0
10_3,0,8,68.0,0.0,10000.0
10_3,0,9,63.0,0.0,10000.0
10_3,0,10,50.0,0.0,10000.0
10_3,1,0,64.0,97.0,10000.0
10_3,1,2,84.0,97.0,10000.0
10_3,1,3,95.0,97.0,10000.0
10_3,1,4,76.0,97.0,10000.0
10_3,1,5,81.0,97.0,10000.0
10_3,1,6,93.0,97.0,10000.0
10_3,1,7,82.0,97.0,10000.0
10_3,1,8,85.0,97.0,10000.0
10_3,1,9,61.0,97.0,10000.0
10_3,1,10,51.0,97.0,10000.0
10_3,2,0,71.0,121.0,10000.0
10_3,2,1,53.0,121.0,10000.0
10_3,2,3,70.0,121.0,10000.0
10_3,2,4,50.0,121.0,10000.0
10_3,2,5,98.0,121.0,10000.0
10_3,2,6,99.0,121.0,10000.0
10_3,2,7,52.0,121.0,10000.0
10_3,2,8,89.0,121.0,10000.0
10_3,2,9,86.0,121.0,10000.0
10_3,2,10,63.0,121.0,10000.0
10_3,3,0,68.0,140.0,10000.0
10_3,3,1,70.0,140.0,10000.0
10_3,3,2,69.0,140.0,10000.0
10_3,3,4,87.0,140.0,10000.0
10_3,3,5,58.0,140.0,10000.0
10_3,3,6,71.0,140.0,10000.0
10_3,3,7,99.0,140.0,10000.0
10_3,3,8,93.0,140.0,10000.0
10_3,3,9,89.0,140.0,10000.0
10_3,3,10,65.0,140.0,10000.0
10_3,4,0,79.0,189.0,10000.0
10_3,4,1,82.0,189.0,10000.0
10_3,4,2,74.0,189.0,10000.0
10_3,4,3,81.0,189.0,10000.0
10_3,4,5,81.0,189.0,10000.0
10_3,4,6,52.0,189.0,10000.0
10_3,4,7,60.0,189.0,10000.0
10_3,4,8,50.0,189.0,10000.0
10_3,4,9,55.0,189.0,10000.0
10_3,4,10,90.0,189.0,10000.0
10_3,5,0,92.0,118.0,10000.0
10_3,5,1,95.0,118.0,10000.0
10_3,5,2,52.0,118.0,10000.0
10_3,5,3,63.0,118.0,10000.0
10_3,5,4,99.0,118.0,10000.0
10_3,5,6,87.0,118.0,10000.0
10_3,5,7,79.0,118.0,10000.0
10_3,5,8,61.0,118.0,10000.0
10_3,5,9,74.0,118.0,10000.0
10_3,5,10,89.0,118.0,10000.0
10_3,6,0,61.0,71.0,10000.0
10_3,6,1,74.0,71.0,10000.0
10_3,6,2,86.0,71.0,10000.0
10_3,6,3,81.0,71.0,10000.0
10_3,6,4,94.0,71.0,10000.0
10_3,6,5,98.0,71.0,10000.0
10_3,6,7,51.0,71.0,10000.0
10_3,6,8,52.0,71.0,10000.0
10_3,6,9,76.0,71.0,10000.0
10_3,6,10,67.0,71.0,10000.0
10_3,7,0,93.0,74.0,10000.0
10_3,7,1,53.0,74.0,10000.0
10_3,7,2,88.0,74.0,10000.0
10_3,7,3,81.0,74.0,10000.0
10_3,7,4,67.0,74.0,10000.0
10_3,7,5,97.0,74.0,10000.0
10_3,7,6,77.0,74.0,10000.0
10_3,7,8,97.0,74.0,10000.0
10_3,7,9,72.0,74.0,10000.0
10_3,7,10,87.0,74.0,10000.0
10_3,8,0,57.0,159.0,10000.0
10_3,8,1,80.0,159.0,10000.0
10_3,8,2,89.0,159.0,10000.0
10_3,8,3,61.0,159.0,10000.0
10_3,8,4,75.0,159.0,10000.0
10_3,8,5,67.0,159.0,10000.0
10_3,8,6,63.0,159.0,10000.0
10_3,8,7,78.0,159.0,10000.0
10_3,8,9,77.0,159.0,10000.0
10_3,8,10,78.0,159.0,10000.0
10_3,9,0,79.0,90.0,10000.0
10_3,9,1,75.0,90.0,10000.0
10_3,9,2,97.0,90.0,10000.0
10_3,9,3,95.0,90.0,10000.0
10_3,9,4,61.0,90.0,10000.0
10_3,9,5,93.0,90.0,10000.0
10_3,9,6,61.0,90.0,10000.0
10_3,9,7,89.0,90.0,10000.0
10_3,9,8,70.0,90.0,10000.0
10_3,9,10,92.0,90.0,10000.0
10_3,10,0,55.0,118.0,10000.0
10_3,10,1,99.0,118.0,10000.0
10_3,10,2,94.0,118.0,10000.0
10_3,10,3,73.0,118.0,10000.0
10_3,10,4,67.0,118.0,10000.0
10_3,10,5,67.0,118.0,10000.0
10_3,10,6,98.0,118.0,10000.0
10_3,10,7,92.0,118.0,10000.0
10_3,10,8,82.0,118.0,10000.0
10_3,10,9,63.0,118.0,10000.0
10_4,0,1,74.0,0.0,10000.0
10_4,0,2,92.0,0.0,10000.0
10_4,0,3,51.0,0.0,10000.0
10_4,0,4,96.0,0.0,10000.0
10_4,0,5,68.0,0.0,10000.0
10_4,0,6,54.0,0.0,10000.0
10_4,0,7,89.0,0.0,10000.0
10_4,0,8,87.0,0.0,10000.0
10_4,0,9,75.0,0.0,10000.0
10_4,0,10,50.0,0.0,10000.0
10_4,1,0,67.0,51.0,10000.0
10_4,1,2,67.0,51.0,10000.0
10_4,1,3,53.0,51.0,10000.0
10_4,1,4,86.0,51.0,10000.0
10_4,1,5,98.0,51.0,10000.0
10_4,1,6,94.0,51.0,10000.0
10_4,1,7,82.0,51.0,10000.0
10_4,1,8,85.0,51.0,10000.0
10_4,1,9,97.0,51.0,10000.0
10_4,1,10,96.0,51.0,10000.0
10_4,2,0,70.0,92.0,10000.0
10_4,2,1,85.0,92.0,10000.0
10_4,2,3,81.0,92.0,10000.0
10_4,2,4,93.0,92.0,10000.0
10_4,2,5,64.0,92.0,10000.0
10_4,2,6,58.0,92.0,10000.0
10_4,2,7,94.0,92.0,10000.0
10_4,2,8,80.0,92.0,10000.0
10_4,2,9,52.0,92.0,10000.0
10_4,2,10,71.0,92.0,10000.0
10_4,3,0,73.0,114.0,10000.0
10_4,3,1,96.0,114.0,10000.0
10_4,3,2,96.0,114.0,10000.0
10_4,3,4,68.0,114.0,10000.0
10_4,3,5,84.0,114.0,10000.0
10_4,3,6,70.0,114.0,10000.0
10_4,3,7,51.0,114.0,10000.0
10_4,3,8,71.0,114.0,10000.0
10_4,3,9,73.0,114.0,10000.0
10_4,3,10,62.0,114.0,10000.0
10_4,4,0,85.0,75.0,10000.0
10_4,4,1,69.0,75.0,10000.0
10_4,4,2,81.0,75.0,10000.0
10_4,4,3,76.0,75.0,10000.0
10_4,4,5,80.0,75.0,10000.0
10_4,4,6,78.0,75.0,10000.0
10_4,4,7,82.0,75.0,10000.0
10_4,4,8,78.0,75.0,10000.0
10_4,4,9,94.0,75.0,10000.0
10_4,4,10,65.0,75.0,10000.0
10_4,5,0,57.0,60.0,10000.0
10_4,5,1,56.0,60.0,10000.0
10_4,5,2,79.0,60.0,10000.0
10_4,5,3,80.0,60.0,10000.0
10_4,5,4,93.0,60.0,10000.0
10_4,5,6,82.0,60.0,10000.0
10_4,5,7,95.0,60.0,10000.0
10_4,5,8,70.0,60.0,10000.0
10_4,5,9,69.0,60.0,10000.0
10_4,5,10,56.0,60.0,10000.0
10_4,6,0,53.0,110.0,10000.0
10_4,6,1,73.0,110.0,10000.0
10_4,6,2,72.0,110.0,10000.0
10_4,6,3,84.0,110.0,10000.0
10_4,6,4,69.0,110.0,10000.0
10_4,6,5,80.0,110.0,10000.0
10_4,6,7,67.0,110.0,10000.0
10_4,6,8,87.0,110.0,10000.0
10_4,6,9,51.0,110.0,10000.0
10_4,6,10,90.0,110.0,10000.0
10_4,7,0,51.0,96.0,10000.0
10_4,7,1,98.0,96.0,10000.0
10_4,7,2,68.0,96.0,10000.0
10_4,7,3,82.0,96.0,10000.0
10_4,7,4,56.0,96.0,10000.0
10_4,7,5,72.0,96.0,10000.0
10_4,7,6,83.0,96.0,10000.0
10_4,7,8,54.0,96.0,10000.0
10_4,7,9,53.0,96.0,10000.0
10_4,7,10,54.0,96.0,10000.0
10_4,8,0,96.0,134.0,10000.0
10_4,8,1,79.0,134.0,10000.0
10_4,8,2,71.0,134.0,10000.0
10_4,8,3,60.0,134.0,10000.0
10_4,8,4,50.0,134.0,10000.0
10_4,8,5,97.0,134.0,10000.0
10_4,8,6,87.0,134.0,10000.0
10_4,8,7,96.0,134.0,10000.0
10_4,8,9,89.0,134.0,10000.0
10_4,8,10,98.0,134.0,10000.0
10_4,9,0,52.0,169.0,10000.0
10_4,9,1,64.0,169.0,10000.0
10_4,9,2,82.0,169.0,10000.0
10_4,9,3,58.0,169.0,10000.0
10_4,9,4,66.0,169.0,10000.0
10_4,9,5,65.0,169.0,10000.0
10_4,9,6,83.0,169.0,10000.0
10_4,9,7,93.0,169.0,10000.0
10_4,9,8,65.0,169.0,10000.0
10_4,9,10,90.0,169.0,10000.0
10_4,10,0,96.0,50.0,10000.0
10_4,10,1,58.0,50.0,10000.0
10_4,10,2,69.0,50.0,10000.0
10_4,10,3,52.0,50.0,10000.0
10_4,10,4,54.0,50.0,10000.0
10_4,10,5,68.0,50.0,10000.0
10_4,10,6,60.0,50.0,10000.0
10_4,10,7,83.0,50.0,10000.0
10_4,10,8,80.0,50.0,10000.0
10_4,10,9,78.0,50.0,10000.0
10_5,0,1,90.0,0.0,10000.0
10_5,0,2,69.0,0.0,10000.0
10_5,0,3,51.0,0.0,10000.0
10_5,0,4,80.0,0.0,10000.0
10_5,0,5,53.0,0.0,10000.0
10_5,0,6,84.0,0.0,10000.0
10_5,0,7,97.0,0.0,10000.0
10_5,0,8,50.0,0.0,10000.0
10_5,0,9,63.0,0.0,10000.0
10_5,0,10,88.0,0.0,10000.0
10_5,1,0,71.0,90.0,10000.0
10_5,1,2,92.0,90.0,10000.0
10_5,1,3,93.0,90.0,10000.0
10_5,1,4,82.0,90.0,10000.0
10_5,1,5,72.0,90.0,10000.0
10_5,1,6,87.0,90.0,10000.0
10_5,1,7,51.0,90.0,10000.0
10_5,1,8,63.0,90.0,10000.0
10_5,1,9,52.0,90.0,10000.0
10_5,1,10,64.0,90.0,10000.0
10_5,2,0,75.0,192.0,10000.0
10_5,2,1,95.0,192.0,10000.0
10_5,2,3,85.0,192.0,10000.0
10_5,2,4,88.0,192.0,10000.0
10_5,2,5,83.0,192.0,10000.0
10_5,2,6,65.0,192.0,10000.0
10_5,2,7,60.0,192.0,10000.0
10_5,2,8,91.0,192.0,10000.0
10_5,2,9,69.0,192.0,10000.0
10_5,2,10,52.0,192.0,10000.0
10_5,3,0,81.0,145.0,10000.0
10_5,3,1,90.0,145.0,10000.0
10_5,3,2,62.0,145.0,10000.0
10_5,3,4,94.0,145.0,10000.0
10_5,3,5,68.0,145.0,10000.0
10_5,3,6,98.0,145.0,10000.0
10_5,3,7,91.0,145.0,10000.0
10_5,3,8,58.0,145.0,10000.0
10_5,3,9,63.0,145.0,10000.0
10_5,3,10,52.0,145.0,10000.0
10_5,4,0,71.0,179.0,10000.0
10_5,4,1,84.0,179.0,10000.0
10_5,4,2,53.0,179.0,10000.0
10_5,4,3,96.0,179.0,10000.0
10_5,4,5,96.0,179.0,10000.0
10_5,4,6,60.0,179.0,10000.0
10_5,4,7,51.0,179.0,10000.0
10_5,4,8,98.0,179.0,10000.0
10_5,4,9,67.0,179.0,10000.0
10_5,4,10,74.0,179.0,10000.0
10_5,5,0,95.0,164.0,10000.0
10_5,5,1,56.0,164.0,10000.0
10_5,5,2,91.0,164.0,10000.0
10_5,5,3,60.0,164.0,10000.0
10_5,5,4,79.0,164.0,10000.0
10_5,5,6,71.0,164.0,10000.0
10_5,5,7,68.0,164.0,10000.0
10_5,5,8,64.0,164.0,10000.0
10_5,5,9,80.0,164.0,10000.0
10_5,5,10,57.0,164.0,10000.0
10_5,6,0,60.0,56.0,10000.0
10_5,6,1,67.0,56.0,10000.0
10_5,6,2,87.0,56.0,10000.0
10_5,6,3,90.0,56.0,10000.0
10_5,6,4,90.0,56.0,10000.0
10_5,6,5,61.0,56.0,10000.0
10_5,6,7,64.0,56.0,10000.0
10_5,6,8,71.0,56.0,10000.0
10_5,6,9,70.0,56.0,10000.0
10_5,6,10,71.0,56.0,10000.0
10_5,7,0,71.0,120.0,10000.0
10_5,7,1,60.0,120.0,10000.0
10_5,7,2,74.0,120.0,10000.0
10_5,7,3,75.0,120.0,10000.0
10_5,7,4,84.0,120.0,10000.0
10_5,7,5,76.0,120.0,10000.0
10_5,7,6,50.0,120.0,10000.0
10_5,7,8,84.0,120.0,10000.0
10_5,7,9,84.0,120.0,10000.0
10_5,7,10,85.0,120.0,10000.0
10_5,8,0,69.0,76.0,10000.0
10_5,8,1,66.0,76.0,10000.0
10_5,8,2,90.0,76.0,10000.0
10_5,8,3,82.0,76.0,10000.0
10_5,8,4,84.0,76.0,10000.0
10_5,8,5,89.0,76.0,10000.0
10_5,8,6,99.0,76.0,10000.0
10_5,8,7,62.0,76.0,10000.0
10_5,8,9,95.0,76.0,10000.0
10_5,8,10,78.0,76.0,10000.0
10_5,9,0,56.0,155.0,10000.0
10_5,9,1,80.0,155.0,10000.0
10_5,9,2,98.0,155.0,10000.0
10_5,9,3,88.0,155.0,10000.0
10_5,9,4,51.0,155.0,10000.0
10_5,9,5,55.0,155.0,10000.0
10_5,9,6,73.0,155.0,10000.0
10_5,9,7,64.0,155.0,10000.0
10_5,9,8,54.0,155.0,10000.0
10_5,9,10,73.0,155.0,10000.0
10_5,10,0,70.0,93.0,10000.0
10_5,10,1,55.0,93.0,10000.0
10_5,10,2,63.0,93.0,10000.0
10_5,10,3,95.0,93.0,10000.0
10_5,10,4,77.0,93.0,10000.0
10_5,10,5,97.0,93.0,10000.0
10_5,10,6,51.0,93.0,10000.0
10_5,10,7,89.0,93.0,10000.0
10_5,10,8,73.0,93.0,10000.0
10_5,10,9,96.0,93.0,10000.0
10_6,0,1,97.0,0.0,10000.0
10_6,0,2,73.0,0.0,10000.0
10_6,0,3,61.0,0.0,10000.0
10_6,0,4,94.0,0.0,10000.0
10_6,0,5,87.0,0.0,10000.0
10_6,0,6,67.0,0.0,10000.0
10_6,0,7,81.0,0.0,10000.0
10_6,0,8,76.0,0.0,10000.0
10_6,0,9,51.0,0.0,10000.0
10_6,0,10,99.0,0.0,10000.0
10_6,1,0,85.0,173.0,10000.0
10_6,1,2,86.0,173.0,10000.0
10_6,1,3,94.0,173.0,10000.0
10_6,1,4,79.0,173.0,10000.0
10_6,1,5,71.0,173.0,10000.0
10_6,1,6,88.0,173.0,10000.0
10_6,1,7,55.0,173.0,10000.0
10_6,1,8,97.0,173.0,10000.0
10_6,1,9,84.0,173.0,10000.0
10_6,1,10,66.0,173.0,10000.0
10_6,2,0,51.0,64.0,10000.0
10_6,2,1,92.0,64.0,10000.0
10_6,2,3,84.0,64.0,10000.0
10_6,2,4,84.0,64.0,10000.0
10_6,2,5,57.0,64.0,10000.0
10_6,2,6,68.0,64.0,10000.0
10_6,2,7,53.0,64.0,10000.0
10_6,2,8,60.0,64.0,10000.0
10_6,2,9,50.0,64.0,10000.0
10_6,2,10,56.0,64.0,10000.0
10_6,3,0,96.0,75.0,10000.0
10_6,3,1,88.0,75.0,10000.0
10_6,3,2,65.0,75.0,10000.0
10_6,3,4,52.0,75.0,10000.0
10_6,3,5,90.0,75.0,10000.0
10_6,3,6,85.0,75.0,10000.0
10_6,3,7,99.0,75.0,10000.0
10_6,3,8,94.0,75.0,10000.0
10_6,3,9,50.0,75.0,10000.0
10_6,3,10,99.0,75.0,10000.0
10_6,4,0,97.0,74.0,10000.0
10_6,4,1,69.0,74.0,10000.0
10_6,4,2,81.0,74.0,10000.0
10_6,4,3,65.0,74.0,10000.0
10_6,4,5,67.0,74.0,10000.0
10_6,4,6,67.0,74.0,10000.0
10_6,4,7,77.0,74.0,10000.0
10_6,4,8,60.0,74.0,10000.0
10_6,4,9,93.0,74.0,10000.0
10_6,4,10,90.0,74.0,10000.0
10_6,5,0,61.0,192.0,10000.0
10_6,5,1,69.0,192.0,10000.0
10_6,5,2,78.0,192.0,10000.0
10_6,5,3,85.0,192.0,10000.0
10_6,5,4,58.0,192.0,10000.0
10_6,5,6,66.0,192.0,10000.0
10_6,5,7,66.0,192.0,10000.0
10_6,5,8,65.0,192.0,10000.0
10_6,5,9,98.0,192.0,10000.0
10_6,5,10,72.0,192.0,10000.0
10_6,6,0,59.0,165.0,10000.0
10_6,6,1,77.0,165.0,10000.0
10_6,6,2,59.0,165.0,10000.0
10_6,6,3,77.0,165.0,10000.0
10_6,6,4,80.0,165.0,10000.0
10_6,6,5,80.0,165.0,10000.0
10_6,6,7,70.0,165.0,10000.0
10_6,6,8,78.0,165.0,10000.0
10_6,6,9,69.0,165.0,10000.0
10_6,6,10,89.0,165.0,10000.0
10_6,7,0,98.0,87.0,10000.0
10_6,7,1,99.0,87.0,10000.0
10_6,7,2,80.0,87.0,10000.0
10_6,7,3,72.0,87.0,10000.0
10_6,7,4,69.0,87.0,10000.0
10_6,7,5,97.0,87.0,10000.0
10_6,7,6,99.0,87.0,10000.0
10_6,7,8,92.0,87.0,10000.0
10_6,7,9,60.0,87.0,10000.0
10_6,7,10,91.0,87.0,10000.0
10_6,8,0,99.0,117.0,10000.0
10_6,8,1,85.0,117.0,10000.0
10_6,8,2,83.0,117.0,10000.0
10_6,8,3,62.0,117.0,10000.0
10_6,8,4,73.0,117.0,10000.0
10_6,8,5,59.0,117.0,10000.0
10_6,8,6,61.0,117.0,10000.0
10_6,8,7,80.0,117.0,10000.0
10_6,8,9,57.0,117.0,10000.0
10_6,8,10,95.0,117.0,10000.0
10_6,9,0,59.0,137.0,10000.0
10_6,9,1,83.0,137.0,10000.0
10_6,9,2,52.0,137.0,10000.0
10_6,9,3,55.0,137.0,10000.0
10_6,9,4,87.0,137.0,10000.0
10_6,9,5,54.0,137.0,10000.0
10_6,9,6,54.0,137.0,10000.0
10_6,9,7,89.0,137.0,10000.0
10_6,9,8,52.0,137.0,10000.0
10_6,9,10,78.0,137.0,10000.0
10_6,10,0,97.0,120.0,10000.0
10_6,10,1,51.0,120.0,10000.0
10_6,10,2,61.0,120.0,10000.0
10_6,10,3,61.0,120.0,10000.0
10_6,10,4,76.0,120.0,10000.0
10_6,10,5,87.0,120.0,10000.0
10_6,10,6,87.0,120.0,10000.0
10_6,10,7,69.0,120.0,10000.0
10_6,10,8,66.0,120.0,10000.0
10_6,10,9,58.0,120.0,10000.0
10_7,0,1,93.0,0.0,10000.0
10_7,0,2,52.0,0.0,10000.0
10_7,0,3,61.0,0.0,10000.0
